Date,SumGBG(mm),SumLTP(mm),SumPerm(mm),GBGLTP,GBGPerm
12/20/2005,0,,,17.01799883,17.01979988
12/21/2005,0,,,0,0
12/22/2005,0,,,108.5,61.01
12/23/2005,0,,,37.4,39.96
12/24/2005,0,,,124.22,132.53
12/25/2005,0,,,8.86,9.11
12/26/2005,0,,,NA,NA
12/27/2005,0,,,39.28,23.8
12/28/2005,0,,,7.35,8.09
12/29/2005,0,,,70.67,68.13
12/30/2005,0,,,48.2,48.73
12/31/2005,0,,,,
1/1/2006,0,,,,
1/2/2006,0,,,,
1/3/2006,0,,,,
1/4/2006,0,,,,
1/5/2006,0,,,,
1/6/2006,0,,,,
1/7/2006,0,,,,
1/8/2006,0,,,,
1/9/2006,0,,,,
1/10/2006,0,,,,
1/11/2006,0,,,,
1/12/2006,0,,,,
1/13/2006,0,,,,
1/14/2006,0,,,,
1/15/2006,0,,,,
1/16/2006,0,,,,
1/17/2006,0,,,,
1/18/2006,0,,,,
1/19/2006,0,,,,
1/20/2006,0,,,,
1/21/2006,0,,,,
1/22/2006,0,,,,
1/23/2006,0,,,,
1/24/2006,0,,,,
1/25/2006,0,,,,
1/26/2006,0,,,,
1/27/2006,0,,,,
1/28/2006,0,,,,
1/29/2006,0,,,,
1/30/2006,0,,,,
1/31/2006,0,,,,
2/1/2006,0,,,,
2/2/2006,0,,,,
2/3/2006,0,,,,
2/4/2006,0,,,,
2/5/2006,0,,,,
2/6/2006,0,,,,
2/7/2006,0,,,,
2/8/2006,0,,,,
2/9/2006,0,,,,
2/10/2006,0,,,,
2/11/2006,0,,,,
2/12/2006,0,,,,
2/13/2006,0,,,,
2/14/2006,0,,,,
2/15/2006,0,,,,
2/16/2006,0,,,,
2/17/2006,0,,,,
2/18/2006,0,,,,
2/19/2006,0,,,,
2/20/2006,0,,,,
2/21/2006,0,,,,
2/22/2006,0,,,,
2/23/2006,0,,,,
2/24/2006,0,,,,
2/25/2006,0,,,,
2/26/2006,0,,,,
2/27/2006,0,,,,
2/28/2006,0,,,,
3/1/2006,0.761999947,,,,
3/2/2006,0,,,,
3/3/2006,0,,,,
3/4/2006,0,,,,
3/5/2006,0,,,,
3/6/2006,0,,,,
3/7/2006,0,,,,
3/8/2006,0.253999982,,,,
3/9/2006,0,,,,
3/10/2006,0,,,,
3/11/2006,4.825999667,,,,
3/12/2006,6.857999527,,,,
3/13/2006,0,,,,
3/14/2006,0,,,,
3/15/2006,0,,,,
3/16/2006,0,,,,
3/17/2006,0,,,,
3/18/2006,0,,,,
3/19/2006,4.06399972,,,,
3/20/2006,0,,,,
3/21/2006,0,,,,
3/22/2006,0,,,,
3/23/2006,0,,,,
3/24/2006,0,,,,
3/25/2006,0,,,,
3/26/2006,0,,,,
3/27/2006,0,,,,
3/28/2006,0.253999982,,,,
3/29/2006,0,,,,
3/30/2006,0,,,,
3/31/2006,0,,,,
4/1/2006,0,,,,
4/2/2006,0,,,,
4/3/2006,0,,,,
4/4/2006,0,,,,
4/5/2006,0,,,,
4/6/2006,0,,,,
4/7/2006,0,,,,
4/8/2006,0,,,,
4/9/2006,0,,,,
4/10/2006,0,,,,
4/11/2006,0,,,,
4/12/2006,0,,,,
4/13/2006,0,,,,
4/14/2006,0,,,,
4/15/2006,0,,,,
4/16/2006,0,,,,
4/17/2006,0,,,,
4/18/2006,0,,,,
4/19/2006,0,,,,
4/20/2006,0,,,,
4/21/2006,0,,,,
4/22/2006,0,,,,
4/23/2006,0,,,,
4/24/2006,0,,,,
4/25/2006,0,,,,
4/26/2006,0,,,,
4/27/2006,0,,,,
4/28/2006,0,,,,
4/29/2006,0,,,,
4/30/2006,0,,,,
5/1/2006,0,,,,
5/2/2006,0,,,,
5/3/2006,0,,,,
5/4/2006,0,,,,
5/5/2006,0,,,,
5/6/2006,0,,,,
5/7/2006,0,,,,
5/8/2006,0,,,,
5/9/2006,0,,,,
5/10/2006,0,,,,
5/11/2006,0,,,,
5/12/2006,0,,,,
5/13/2006,0,,,,
5/14/2006,0,,,,
5/15/2006,0,,,,
5/16/2006,0,,,,
5/17/2006,0,,,,
5/18/2006,0,,,,
5/19/2006,0,,,,
5/20/2006,0,,,,
5/21/2006,0,,,,
5/22/2006,0,,,,
5/23/2006,0,,,,
5/24/2006,0,,,,
5/25/2006,0,,,,
5/26/2006,0,,,,
5/27/2006,0,,,,
5/28/2006,0,,,,
5/29/2006,0,,,,
5/30/2006,0,,,,
5/31/2006,0,,,,
6/1/2006,0,,,,
6/2/2006,0,,,,
6/3/2006,0,,,,
6/4/2006,0,,,,
6/5/2006,0,,,,
6/6/2006,3.809999737,,,,
6/7/2006,1.777999877,,,,
6/8/2006,0,,,,
6/9/2006,0,,,,
6/10/2006,0,,,,
6/11/2006,0,,,,
6/12/2006,0,,,,
6/13/2006,0,,,,
6/14/2006,0,,,,
6/15/2006,0,,,,
6/16/2006,0,,,,
6/17/2006,0,,,,
6/18/2006,0,,,,
6/19/2006,0,,,,
6/20/2006,0,,,,
6/21/2006,0,,,,
6/22/2006,0,,,,
6/23/2006,0,,,,
6/24/2006,0,,,,
6/25/2006,0,,,,
6/26/2006,0,,,,
6/27/2006,0.761999947,,,,
6/28/2006,17.01799883,,,,
6/29/2006,,,,,
6/30/2006,,,,,
7/1/2006,,,,,
7/2/2006,,,,,
7/3/2006,,,,,
7/4/2006,,,,,
7/5/2006,,,,,
7/6/2006,,,,,
7/7/2006,,,,,
7/8/2006,,,,,
7/9/2006,,,,,
7/10/2006,,,,,
7/11/2006,,,,,
7/12/2006,,,,,
7/13/2006,,,,,
7/14/2006,,,,,
7/15/2006,,,,,
7/16/2006,,,,,
7/17/2006,,,,,
7/18/2006,,,,,
7/19/2006,,,,,
7/20/2006,,,,,
7/21/2006,,,,,
7/22/2006,,,,,
7/23/2006,,,,,
7/24/2006,,,,,
7/25/2006,,,,,
7/26/2006,,,,,
7/27/2006,,,,,
7/28/2006,,,,,
7/29/2006,,,,,
7/30/2006,,,,,
7/31/2006,,,,,
8/1/2006,,,,,
8/2/2006,,,,,
8/3/2006,,,,,
8/4/2006,,,,,
8/5/2006,,,,,
8/6/2006,,,,,
8/7/2006,,,,,
8/8/2006,,,,,
8/9/2006,,,,,
8/10/2006,,,,,
8/11/2006,,,,,
8/12/2006,,,,,
8/13/2006,,,,,
8/14/2006,,,,,
8/15/2006,,,,,
8/16/2006,,,,,
8/17/2006,,,,,
8/18/2006,,,,,
8/19/2006,,,,,
8/20/2006,,,,,
8/21/2006,,,,,
8/22/2006,,,,,
8/23/2006,,,,,
8/24/2006,,,,,
8/25/2006,,,,,
8/26/2006,,,,,
8/27/2006,,,,,
8/28/2006,,,,,
8/29/2006,,,,,
8/30/2006,,,,,
8/31/2006,,,,,
9/1/2006,,,,,
9/2/2006,,,,,
9/3/2006,,,,,
9/4/2006,,,,,
9/5/2006,,,,,
9/6/2006,,,,,
9/7/2006,,,,,
9/8/2006,,,,,
9/9/2006,,,,,
9/10/2006,,,,,
9/11/2006,,,,,
9/12/2006,,,,,
9/13/2006,,,,,
9/14/2006,,,,,
9/15/2006,,,,,
9/16/2006,,,,,
9/17/2006,,,,,
9/18/2006,,,,,
9/19/2006,,,,,
9/20/2006,,,,,
9/21/2006,,,,,
9/22/2006,,,,,
9/23/2006,,,,,
9/24/2006,,,,,
9/25/2006,,,,,
9/26/2006,,,,,
9/27/2006,,,,,
9/28/2006,,,,,
9/29/2006,,,,,
9/30/2006,,,,,
10/1/2006,,,,,
10/2/2006,,,,,
10/3/2006,,,,,
10/4/2006,,,,,
10/5/2006,,,,,
10/6/2006,,,,,
10/7/2006,,,,,
10/8/2006,,,,,
10/9/2006,,,,,
10/10/2006,,,,,
10/11/2006,,,,,
10/12/2006,,,,,
10/13/2006,,,,,
10/14/2006,,,,,
10/15/2006,,,,,
10/16/2006,,,,,
10/17/2006,,,,,
10/18/2006,,,,,
10/19/2006,,,,,
10/20/2006,,,,,
10/21/2006,,,,,
10/22/2006,,,,,
10/23/2006,,,,,
10/24/2006,,,,,
10/25/2006,,,,,
10/26/2006,,,,,
10/27/2006,,,,,
10/28/2006,,,,,
10/29/2006,,,,,
10/30/2006,,,,,
10/31/2006,,,,,
11/1/2006,,,,,
11/2/2006,,,,,
11/3/2006,,,,,
11/4/2006,,,,,
11/5/2006,,,,,
11/6/2006,,,,,
11/7/2006,,,,,
11/8/2006,,,,,
11/9/2006,,,,,
11/10/2006,,,,,
11/11/2006,,,,,
11/12/2006,,,,,
11/13/2006,,,,,
11/14/2006,,,,,
11/15/2006,,,,,
11/16/2006,,,,,
11/17/2006,,,,,
11/18/2006,,,,,
11/19/2006,,,,,
11/20/2006,,,,,
11/21/2006,,,,,
11/22/2006,,,,,
11/23/2006,,,,,
11/24/2006,,,,,
11/25/2006,,,,,
11/26/2006,,,,,
11/27/2006,,,,,
11/28/2006,,,,,
11/29/2006,,,,,
11/30/2006,,,,,
12/1/2006,,,,,
12/2/2006,,,,,
12/3/2006,,,,,
12/4/2006,,,,,
12/5/2006,,,,,
12/6/2006,,,,,
12/7/2006,,,,,
12/8/2006,,,,,
12/9/2006,,,,,
12/10/2006,,,,,
12/11/2006,,,,,
12/12/2006,,,,,
12/13/2006,,,,,
12/14/2006,,,,,
12/15/2006,,,,,
12/16/2006,,,,,
12/17/2006,,,,,
12/18/2006,,,,,
12/19/2006,,,,,
12/20/2006,,,,,
12/21/2006,,,,,
12/22/2006,,,,,
12/23/2006,,,,,
12/24/2006,,,,,
12/25/2006,,,,,
12/26/2006,,,,,
12/27/2006,,,,,
12/28/2006,,,,,
12/29/2006,,,,,
12/30/2006,,,,,
12/31/2006,,,,,
1/1/2007,0,,,,
1/2/2007,0,,,,
1/3/2007,0,,,,
1/4/2007,0,,,,
1/5/2007,0,,,,
1/6/2007,0,,,,
1/7/2007,0,,,,
1/8/2007,0,,,,
1/9/2007,0,,,,
1/10/2007,0,,,,
1/11/2007,0,,,,
1/12/2007,0,,,,
1/13/2007,0,,,,
1/14/2007,0,,,,
1/15/2007,0,,,,
1/16/2007,0,,,,
1/17/2007,0,,,,
1/18/2007,0,,,,
1/19/2007,0,,,,
1/20/2007,0,,,,
1/21/2007,0,,,,
1/22/2007,0,,,,
1/23/2007,0,,,,
1/24/2007,0,,,,
1/25/2007,0,,,,
1/26/2007,0,,,,
1/27/2007,0,,,,
1/28/2007,0,,,,
1/29/2007,0,,,,
1/30/2007,0,,,,
1/31/2007,0,,,,
2/1/2007,0,,,,
2/2/2007,0,,,,
2/3/2007,0,,,,
2/4/2007,0,,,,
2/5/2007,0,,,,
2/6/2007,0,,,,
2/7/2007,0,,,,
2/8/2007,0,,,,
2/9/2007,0,,,,
2/10/2007,0,,,,
2/11/2007,0,,,,
2/12/2007,0,,,,
2/13/2007,0,,,,
2/14/2007,0,,,,
2/15/2007,0,,,,
2/16/2007,0,,,,
2/17/2007,0,,,,
2/18/2007,0,,,,
2/19/2007,0,,,,
2/20/2007,0,,,,
2/21/2007,0,,,,
2/22/2007,0,,,,
2/23/2007,0,,,,
2/24/2007,0,,,,
2/25/2007,0,,,,
2/26/2007,0,,,,
2/27/2007,0,,,,
2/28/2007,0,,,,
3/1/2007,0,,,,
3/2/2007,0,,,,
3/3/2007,0,,,,
3/4/2007,0,,,,
3/5/2007,0,,,,
3/6/2007,0,,,,
3/7/2007,0,,,,
3/8/2007,0,,,,
3/9/2007,0,,,,
3/10/2007,0,,,,
3/11/2007,0,,,,
3/12/2007,0,,,,
3/13/2007,0,,,,
3/14/2007,0,,,,
3/15/2007,0,,,,
3/16/2007,0,,,,
3/17/2007,0,,,,
3/18/2007,0,,,,
3/19/2007,0,,,,
3/20/2007,0,,,,
3/21/2007,0,,,,
3/22/2007,0,,,,
3/23/2007,0,,,,
3/24/2007,0,,,,
3/25/2007,0,,,,
3/26/2007,0,,,,
3/27/2007,0,,,,
3/28/2007,0,,,,
3/29/2007,0,,,,
3/30/2007,0,,,,
3/31/2007,0,,,,
4/1/2007,0,,,,
4/2/2007,0,,,,
4/3/2007,,,,,
4/4/2007,,,,,
4/5/2007,,,,,
4/6/2007,,,,,
4/7/2007,,,,,
4/8/2007,,,,,
4/9/2007,,,,,
4/10/2007,,,,,
4/11/2007,,,,,
4/12/2007,,,,,
4/13/2007,,,,,
4/14/2007,,,,,
4/15/2007,,,,,
4/16/2007,,,,,
4/17/2007,,,,,
4/18/2007,,,,,
4/19/2007,,,,,
4/20/2007,,,,,
4/21/2007,,,,,
4/22/2007,,,,,
4/23/2007,,,,,
4/24/2007,,,,,
4/25/2007,,,,,
4/26/2007,,,,,
4/27/2007,,,,,
4/28/2007,,,,,
4/29/2007,,,,,
4/30/2007,,,,,
5/1/2007,,,,,
5/2/2007,,,,,
5/3/2007,,,,,
5/4/2007,,,,,
5/5/2007,,,,,
5/6/2007,,,,,
5/7/2007,,,,,
5/8/2007,,,,,
5/9/2007,,,,,
5/10/2007,,,,,
5/11/2007,,,,,
5/12/2007,,,,,
5/13/2007,,,,,
5/14/2007,,,,,
5/15/2007,,,,,
5/16/2007,,,,,
5/17/2007,,,,,
5/18/2007,,,,,
5/19/2007,,,,,
5/20/2007,,,,,
5/21/2007,,,,,
5/22/2007,,,,,
5/23/2007,,,,,
5/24/2007,,,,,
5/25/2007,,,,,
5/26/2007,,,,,
5/27/2007,,,,,
5/28/2007,,,,,
5/29/2007,,,,,
5/30/2007,,,,,
5/31/2007,,,,,
6/1/2007,,,,,
6/2/2007,,,,,
6/3/2007,,,,,
6/4/2007,,,,,
6/5/2007,,,,,
6/6/2007,,,,,
6/7/2007,,,,,
6/8/2007,,,,,
6/9/2007,,,,,
6/10/2007,,,,,
6/11/2007,,,,,
6/12/2007,,,,,
6/13/2007,,,,,
6/14/2007,,,,,
6/15/2007,,,,,
6/16/2007,,,,,
6/17/2007,,,,,
6/18/2007,,,,,
6/19/2007,,,,,
6/20/2007,,,,,
6/21/2007,,,,,
6/22/2007,,,,,
6/23/2007,,,,,
6/24/2007,,,,,
6/25/2007,,,,,
6/26/2007,,,,,
6/27/2007,,,,,
6/28/2007,,,,,
6/29/2007,,,,,
6/30/2007,,,,,
7/1/2007,,,,,
7/2/2007,,,,,
7/3/2007,,,,,
7/4/2007,,,,,
7/5/2007,,,,,
7/6/2007,,,,,
7/7/2007,,,,,
7/8/2007,,,,,
7/9/2007,,,,,
7/10/2007,,,,,
7/11/2007,,,,,
7/12/2007,,,,,
7/13/2007,,,,,
7/14/2007,,,,,
7/15/2007,,,,,
7/16/2007,,,,,
7/17/2007,,,,,
7/18/2007,,,,,
7/19/2007,,,,,
7/20/2007,,,,,
7/21/2007,,,,,
7/22/2007,,,,,
7/23/2007,,,,,
7/24/2007,,,,,
7/25/2007,,,,,
7/26/2007,,,,,
7/27/2007,,,,,
7/28/2007,,,,,
7/29/2007,,,,,
7/30/2007,,,,,
7/31/2007,,,,,
8/1/2007,,,,,
8/2/2007,,,,,
8/3/2007,,,,,
8/4/2007,,,,,
8/5/2007,,,,,
8/6/2007,,,,,
8/7/2007,,,,,
8/8/2007,,,,,
8/9/2007,,,,,
8/10/2007,,,,,
8/11/2007,,,,,
8/12/2007,,,,,
8/13/2007,,,,,
8/14/2007,,,,,
8/15/2007,,,,,
8/16/2007,,,,,
8/17/2007,,,,,
8/18/2007,,,,,
8/19/2007,,,,,
8/20/2007,,,,,
8/21/2007,,,,,
8/22/2007,,,,,
8/23/2007,,,,,
8/24/2007,,,,,
8/25/2007,,,,,
8/26/2007,,,,,
8/27/2007,,,,,
8/28/2007,,,,,
8/29/2007,,,,,
8/30/2007,,,,,
8/31/2007,,,,,
9/1/2007,,,,,
9/2/2007,,,,,
9/3/2007,,,,,
9/4/2007,,,,,
9/5/2007,,,,,
9/6/2007,,,,,
9/7/2007,,,,,
9/8/2007,,,,,
9/9/2007,,,,,
9/10/2007,,,,,
9/11/2007,,,,,
9/12/2007,,,,,
9/13/2007,,,,,
9/14/2007,,,,,
9/15/2007,,,,,
9/16/2007,,,,,
9/17/2007,,,,,
9/18/2007,,,,,
9/19/2007,,,,,
9/20/2007,,,,,
9/21/2007,,,,,
9/22/2007,,,,,
9/23/2007,,,,,
9/24/2007,,,,,
9/25/2007,,,,,
9/26/2007,,,,,
9/27/2007,,,,,
9/28/2007,,,,,
9/29/2007,,,,,
9/30/2007,,,,,
10/1/2007,,,,,
10/2/2007,,,,,
10/3/2007,,,,,
10/4/2007,,,,,
10/5/2007,,,,,
10/6/2007,,,,,
10/7/2007,,,,,
10/8/2007,,,,,
10/9/2007,,,,,
10/10/2007,,,,,
10/11/2007,,,,,
10/12/2007,,,,,
10/13/2007,,,,,
10/14/2007,,,,,
10/15/2007,,,,,
10/16/2007,,,,,
10/17/2007,,,,,
10/18/2007,,,,,
10/19/2007,,,,,
10/20/2007,,,,,
10/21/2007,,,,,
10/22/2007,,,,,
10/23/2007,,,,,
10/24/2007,,,,,
10/25/2007,,,,,
10/26/2007,,,,,
10/27/2007,,,,,
10/28/2007,,,,,
10/29/2007,,,,,
10/30/2007,,,,,
10/31/2007,,,,,
11/1/2007,,,,,
11/2/2007,,,,,
11/3/2007,,,,,
11/4/2007,,,,,
11/5/2007,,,,,
11/6/2007,,,,,
11/7/2007,,,,,
11/8/2007,,,,,
11/9/2007,,,,,
11/10/2007,,,,,
11/11/2007,,,,,
11/12/2007,,,,,
11/13/2007,,,,,
11/14/2007,,,,,
11/15/2007,,0,0,,
11/16/2007,,0,0,,
11/17/2007,,0,0,,
11/18/2007,,0,0,,
11/19/2007,,0,0,,
11/20/2007,,0,0,,
11/21/2007,,0,0,,
11/22/2007,,0,0,,
11/23/2007,,0,0,,
11/24/2007,,0,0,,
11/25/2007,,0,0,,
11/26/2007,,0,0,,
11/27/2007,,0,0,,
11/28/2007,,0,0,,
11/29/2007,,2.51,2.51,,
11/30/2007,,72.88,44.41,,
12/1/2007,,0.51,0.5,,
12/2/2007,,0,0,,
12/3/2007,,0,0,,
12/4/2007,,0,0,,
12/5/2007,,0,0,,
12/6/2007,,2.54,0,,
12/7/2007,,0,0,,
12/8/2007,,9.83,10.63,,
12/9/2007,,0,0,,
12/10/2007,,0.25,0.5,,
12/11/2007,,6,15.46,,
12/12/2007,,2.5,0.25,,
12/13/2007,,0,0,,
12/14/2007,,0,0,,
12/15/2007,,0,0,,
12/16/2007,,0,0,,
12/17/2007,,0,0,,
12/18/2007,,0,0,,
12/19/2007,,0,0,,
12/20/2007,,0,0,,
12/21/2007,,0.76,0.5,,
12/22/2007,,0.25,0,,
12/23/2007,,0,0,,
12/24/2007,,0,0,,
12/25/2007,,0,0,,
12/26/2007,,0,0,,
12/27/2007,,0,0,,
12/28/2007,,0,0,,
12/29/2007,,0,0,,
12/30/2007,,0,0,,
12/31/2007,,0,0,,
1/1/2008,,0,0,,
1/2/2008,,0,0,,
1/3/2008,,1,0.75,,
1/4/2008,,0,0,,
1/5/2008,,0,0,,
1/6/2008,,0,0,,
1/7/2008,,14.47,12.68,,
1/8/2008,,0.25,0,,
1/9/2008,,0,0,,
1/10/2008,,0,0,,
1/11/2008,,0,0,,
1/12/2008,,0,0,,
1/13/2008,,0,0,,
1/14/2008,,0,0,,
1/15/2008,,0,0,,
1/16/2008,,0,0,,
1/17/2008,,0,0,,
1/18/2008,,0,0,,
1/19/2008,,0,0,,
1/20/2008,,0,0,,
1/21/2008,,0,0,,
1/22/2008,,0,0,,
1/23/2008,,0,0,,
1/24/2008,,0,0,,
1/25/2008,,0,0,,
1/26/2008,,0,0,,
1/27/2008,,6.06,5.28,,
1/28/2008,,0.25,0,,
1/29/2008,,0,0,,
1/30/2008,,0,0,,
1/31/2008,,0,0,,
2/1/2008,,0,0,,
2/2/2008,,0,0,,
2/3/2008,,0,0,,
2/4/2008,,9.11,7.6,,
2/5/2008,,0.25,0,,
2/6/2008,,0,0,,
2/7/2008,,0,0,,
2/8/2008,,0,0,,
2/9/2008,,0,0,,
2/10/2008,,0,0,,
2/11/2008,,0,0,,
2/12/2008,,0,0,,
2/13/2008,,0,0,,
2/14/2008,,0,0,,
2/15/2008,,68.54,26.62,,
2/16/2008,,3.26,3.25,,
2/17/2008,,0,0,,
2/18/2008,,0,0,,
2/19/2008,,0,0,,
2/20/2008,,0,0,,
2/21/2008,,0,0,,
2/22/2008,,0,0,,
2/23/2008,,0,0,,
2/24/2008,,0,0,,
2/25/2008,,0,0,,
2/26/2008,,0,0,,
2/27/2008,,0,0,,
2/28/2008,,0,0,,
2/29/2008,,0,0,,
3/1/2008,,0,0,,
3/2/2008,,0,0,,
3/3/2008,,0,0,,
3/4/2008,,0,0,,
3/5/2008,,0,0,,
3/6/2008,,0,0,,
3/7/2008,,0,0,,
3/8/2008,,0,0,,
3/9/2008,,0,0,,
3/10/2008,,0,0,,
3/11/2008,,0,0,,
3/12/2008,,0,0,,
3/13/2008,,0,0,,
3/14/2008,,0,0,,
3/15/2008,,0,0,,
3/16/2008,,4.3,3.56,,
3/17/2008,,1.01,1.27,,
3/18/2008,,0,0,,
3/19/2008,,0,0,,
3/20/2008,,0,0,,
3/21/2008,,0,0,,
3/22/2008,,0,0,,
3/23/2008,,0,0,,
3/24/2008,,0,0,,
3/25/2008,,0,0,,
3/26/2008,,0,0,,
3/27/2008,,0,0,,
3/28/2008,,0,0,,
3/29/2008,,0,0,,
3/30/2008,,0,0,,
3/31/2008,,0,0,,
4/1/2008,,0,0,,
4/2/2008,,0,0,,
4/3/2008,,0,0,,
4/4/2008,,0,0,,
4/5/2008,,0,0,,
4/6/2008,,0,0,,
4/7/2008,,0,0,,
4/8/2008,,0,0,,
4/9/2008,,0.76,0.5,,
4/10/2008,,0,0,,
4/11/2008,,0,0,,
4/12/2008,,0,0,,
4/13/2008,,0,0,,
4/14/2008,,0,0,,
4/15/2008,,0,0,,
4/16/2008,,0,0,,
4/17/2008,,0,0,,
4/18/2008,,0,0,,
4/19/2008,,0,0,,
4/20/2008,,0,0,,
4/21/2008,,0,0,,
4/22/2008,,0,0,,
4/23/2008,,0,0,,
4/24/2008,,0,0,,
4/25/2008,,0,0,,
4/26/2008,,0,0,,
4/27/2008,,0,0,,
4/28/2008,,0,0,,
4/29/2008,,0,0,,
4/30/2008,,0,0,,
5/1/2008,,0,0,,
5/2/2008,,0,0,,
5/3/2008,,0,0,,
5/4/2008,,0,0,,
5/5/2008,,0,0,,
5/6/2008,,0,0,,
5/7/2008,,0,0,,
5/8/2008,,0,0,,
5/9/2008,,0,0,,
5/10/2008,,0,0,,
5/11/2008,,0,0,,
5/12/2008,,0,0,,
5/13/2008,,0,0,,
5/14/2008,,0,0,,
5/15/2008,,0,0,,
5/16/2008,,0,0,,
5/17/2008,,0,0,,
5/18/2008,,0,0,,
5/19/2008,,0,0,,
5/20/2008,,0,0,,
5/21/2008,,0,0,,
5/22/2008,,0,0,,
5/23/2008,,0,0,,
5/24/2008,,0,0,,
5/25/2008,,0,0,,
5/26/2008,,0,0,,
5/27/2008,,0,0,,
5/28/2008,,0,0,,
5/29/2008,,0,0,,
5/30/2008,,0,0,,
5/31/2008,,0,0,,
6/1/2008,,0,0,,
6/2/2008,,0,0,,
6/3/2008,,0,0,,
6/4/2008,,0,0,,
6/5/2008,,0,0,,
6/6/2008,,0,0,,
6/7/2008,,0,0,,
6/8/2008,,0,0,,
6/9/2008,,0,0,,
6/10/2008,,0,0,,
6/11/2008,,0,0,,
6/12/2008,,0,0,,
6/13/2008,,0,0,,
6/14/2008,,0,0,,
6/15/2008,,0,0,,
6/16/2008,,0,0,,
6/17/2008,,0,0,,
6/18/2008,,0,0,,
6/19/2008,,0,0,,
6/20/2008,,0,0,,
6/21/2008,,0,0,,
6/22/2008,,0,0,,
6/23/2008,,0,0,,
6/24/2008,,0,0,,
6/25/2008,,0.5,0.25,,
6/26/2008,,24.87,19.8,,
6/27/2008,,1,0,,
6/28/2008,,1,0,,
6/29/2008,,0.5,0,,
6/30/2008,,0,0,,
7/1/2008,,0,0,,
7/2/2008,,0,0,,
7/3/2008,,0,0,,
7/4/2008,,0.5,1.78,,
7/5/2008,,0.75,17.27,,
7/6/2008,,0.75,6.6,,
7/7/2008,,0.5,2,,
7/8/2008,,0.25,1.26,,
7/9/2008,,0.25,0,,
7/10/2008,,0,0.25,,
7/11/2008,,1,21.33,,
7/12/2008,,1.25,0,,
7/13/2008,,5,5.84,,
7/14/2008,,3.5,1.27,,
7/15/2008,,1,0,,
7/16/2008,,0.5,0,,
7/17/2008,,0,0,,
7/18/2008,,0,0,,
7/19/2008,,1.5,24.14,,
7/20/2008,,5.75,11.67,,
7/21/2008,,1.75,0,,
7/22/2008,,1,3.3,,
7/23/2008,,0.5,2.79,,
7/24/2008,,0.25,0,,
7/25/2008,,0.25,0,,
7/26/2008,,0.25,0.76,,
7/27/2008,,0,0,,
7/28/2008,,0,0,,
7/29/2008,,0,0,,
7/30/2008,,0,0,,
7/31/2008,,0,0,,
8/1/2008,,0,0,,
8/2/2008,,0,0,,
8/3/2008,,0.51,0.76,,
8/4/2008,,0.5,0.75,,
8/5/2008,,3.28,11.94,,
8/6/2008,,2.25,0,,
8/7/2008,,0.75,0,,
8/8/2008,,0,0,,
8/9/2008,,0,0,,
8/10/2008,,0,0,,
8/11/2008,,0,0,,
8/12/2008,,0,0,,
8/13/2008,,21.57,0,,
8/14/2008,,10.39,,,
8/15/2008,,0,,,
8/16/2008,,0,,,
8/17/2008,,0,,,
8/18/2008,,0,,,
8/19/2008,,0,,,
8/20/2008,,0,,,
8/21/2008,,0,,,
8/22/2008,,0,,,
